,Security Code,Security Id,Security Name,Status,Group,Face Value,ISIN No,Industry,Instrument,Close 2016,Close 2017,Close 2018,Close 2019,Close 2020,Close 2021
602,507543,CORAGRO,COROMANDEL AGRO PRODUCTS & OILS LTD.,Active,P,10.0,INE495D01018,Edible Oils,Equity,NA,2.58,NA,NA,NA,NA
603,507552,FOODSIN,FOODS & INNS LTD.,Active,X,1.0,INE976E01023,Other Food Products,Equity,925.00,"1,324.15",169.10,48.15,51.20,57.70
604,507580,IVP,IVP LTD.,Active,T,10.0,INE043C01018,Commodity Chemicals,Equity,121.65,208.75,134.00,56.50,82.50,77.75
605,507598,KLRFM,Kovilpatti Lakshmi Roller Flour Mills Ltd,Active,X,10.0,INE014E01015,Other Food Products,Equity,75.45,94.85,41.00,34.00,41.40,49.85
606,507609,OLYOI,OLYMPIC OIL INDUSTRIES LTD.,Active,XT,10.0,INE286E01019,Other Agricultural Products,Equity,56.75,119.80,64.50,40.75,57.95,55.10
607,507621,MLKFOOD,MILKFOOD LTD.,Active,X,10.0,INE588G01013,Packaged Foods,Equity,214.35,397.30,294.65,500.00,401.00,408.30
608,507645,POLSON,POLSON LTD.,Active,X,50.0,INE339F01021,Specialty Chemicals,Equity,"6,955.00","16,034.65","12,222.30","7,640.00","8,814.00","8,747.20"
609,507663,SAGRSOY-B,SAGAR SOYA PRODUCTS LTD.,Active,P,10.0,INE131O01024,Edible Oils,Equity,1.38,0.95,0.76,0.61,NA,NA
610,507685,WIPRO,WIPRO LTD.,Active,A,2.0,INE075A01022,IT Consulting & Software,Equity,474.00,313.40,330.25,245.95,386.25,430.15
611,507690,ORIBEVER,ORIENT BEVERAGES LTD.,Active,X,10.0,INE247F01018,Non-alcoholic Beverages,Equity,161.60,115.50,84.95,59.40,73.80,83.85
612,507717,DHANUKA,DHANUKA AGRITECH LTD.,Active,A,2.0,INE435G01025,Agrochemicals,Equity,732.30,731.65,467.10,411.55,769.10,791.70
613,507747,TTKHEALTH,TTK HEALTHCARE LTD.-$,Active,B,10.0,INE910C01018,Pharmaceuticals,Equity,890.00,830.00,791.60,480.00,598.55,567.65
614,507753,TGVSL,TGV Sraac Ltd,Active,X,10.0,INE284B01028,Commodity Chemicals,Equity,18.85,67.00,33.90,24.05,29.30,28.50
615,507759,LIMECHM,LIME CHEMICALS LTD.,Active,XT,10.0,INE891G01011,Commodity Chemicals,Equity,18.30,49.95,50.55,17.00,22.50,23.50
