,Security Code,Close 2016,Close 2017,Close 2018,Close 2019,Close 2020
1908,530665,1.00,0.40,2.89,1.33,12.42
1909,530669,NA,NA,4.85,1.80,3.17
1910,530675,2.95,9.55,8.02,10.90,9.85
1911,530677,30.80,24.41,21.75,15.27,14.45
1912,530683,NA,13.97,12.55,11.93,11.85
1913,530689,52.70,48.30,24.15,18.90,27.40
1914,530695,25.50,47.75,24.00,12.71,13.89
1915,530697,27.75,63.10,60.15,37.70,32.05
1916,530699,0.32,0.35,0.19,0.19,0.30
1917,530705,8.55,7.10,6.65,6.70,6.36
1918,530709,18.23,24.45,15.20,14.67,19.15
1919,530711,12.74,20.53,14.90,11.55,24.75
1920,530713,5.13,4.51,6.70,4.85,3.48
1921,530715,8.45,6.15,3.47,2.62,1.82
1922,530723,15.90,60.90,64.60,46.70,53.45
1923,530733,99.75,22.15,19.65,15.16,27.30
1924,530735,10.65,8.00,14.57,6.98,7.10
1925,530741,32.25,26.50,21.05,19.00,46.50
1926,530747,3.16,3.99,3.42,3.53,3.45
1927,530755,NA,NA,NA,5.76,5.70
1928,530759,931.35,431.00,346.15,216.00,201.60
1929,530765,1.90,1.20,1.04,1.22,1.20
1930,530771,20.40,14.20,9.00,7.85,15.00
1931,530777,6.73,6.65,6.06,6.50,6.35
1932,530779,3.20,2.15,1.78,2.67,2.58
1933,530783,3.15,3.04,3.41,3.25,4.51
1934,530787,10.74,11.25,8.00,6.85,6.33
1935,530789,61.50,216.50,120.05,111.00,100.55
1936,530795,9.59,9.99,4.71,4.70,4.00
1937,530797,16.30,17.00,17.80,15.50,14.70
1938,530799,8.53,8.55,7.33,7.60,7.25
1939,530803,344.75,277.95,286.80,116.50,165.15
1940,530805,NA,20.30,18.50,18.70,16.25
1941,530807,10.58,10.90,18.25,16.20,15.90
1942,530809,40.00,28.60,14.20,14.60,11.29
1943,530813,297.55,602.55,282.00,285.25,243.15
1944,530815,34.50,48.50,23.55,19.55,26.70
1945,530821,73.00,86.95,44.90,19.10,14.10
1946,530825,62.15,69.70,58.10,20.00,39.05
1947,530829,20.40,35.55,16.50,12.09,12.82
1948,530839,1.15,2.24,1.95,2.21,1.11
1949,530841,4.18,8.23,7.56,6.50,6.50
1950,530843,302.00,302.00,159.90,219.95,239.25
1951,530845,313.80,356.85,180.50,117.35,223.85
1952,530853,46.10,30.70,22.00,24.45,23.80
1953,530855,NA,NA,NA,NA,NA
1954,530859,38.10,43.85,12.96,6.63,3.98
1955,530871,199.10,235.00,327.45,208.30,179.35
1956,530879,20.50,33.85,136.10,114.70,106.40
1957,530881,13.65,10.00,9.50,8.70,7.60
1958,530883,116.60,137.10,21.65,17.10,12.45
1959,530889,0.19,0.19,0.19,0.19,0.46
1960,530897,74.00,85.00,68.70,55.10,41.95
1961,530899,13.12,20.95,21.55,20.50,19.00
1962,530905,NA,NA,NA,NA,NA
1963,530907,NA,NA,7.60,18.35,20.75
1964,530909,73.15,69.50,78.50,74.60,74.00
1965,530915,3.15,3.46,17.75,2.20,3.63
1966,530917,2.47,2.36,NA,2.36,2.25
1967,530919,48.85,113.80,105.00,74.85,118.65
1968,530925,9.09,9.09,8.98,8.51,11.09
1969,530929,7.95,5.00,5.60,6.56,5.50
1970,530931,4.50,7.74,4.51,5.69,2.78
1971,530951,34.40,42.00,41.55,30.00,37.05
1972,530953,29.85,72.00,38.60,23.40,39.50
1973,530959,17.80,27.75,17.10,9.56,18.30
1974,530961,16.50,35.70,11.93,2.99,4.06
1975,530965,325.65,388.40,137.10,125.65,94.55
1976,530973,44.75,67.95,34.55,26.60,25.05
1977,530977,83.30,166.55,72.00,28.40,38.15
1978,530979,85.15,132.40,76.90,50.45,40.25
1979,530985,18.20,19.15,10.66,7.99,9.13
1980,530991,12.25,13.00,12.60,9.04,13.72
1981,530993,21.85,19.00,5.40,5.20,4.75
1982,530997,13.89,12.40,11.82,3.21,18.75
1983,530999,320.10,636.05,459.35,398.20,"1,172.25"
1984,531003,15.66,14.25,12.95,12.56,12.00
1985,531017,6.32,7.60,7.51,6.35,5.75
1986,531025,0.39,0.85,0.31,0.46,0.78
1987,531027,10.60,8.70,9.00,7.70,7.75
1988,531033,8.48,10.00,11.00,9.63,9.63
1989,531035,4.07,7.60,7.60,7.58,7.58
1990,531041,160.75,272.60,213.00,162.65,135.55
1991,531043,35.45,30.50,18.50,8.65,5.00
1992,531049,7.51,10.50,8.70,6.13,7.00
1993,531051,15.20,14.50,16.00,14.40,11.10
1994,531065,5.61,NA,5.88,6.17,3.20
1995,531067,10.36,8.01,6.07,7.17,9.53
1996,531069,168.30,300.00,250.00,160.00,597.85
1997,531080,14.67,18.40,18.20,21.85,16.30
1998,531082,31.80,69.55,24.20,12.30,18.80
1999,531083,15.22,14.90,13.65,5.05,4.42
2000,531091,16.25,19.35,17.50,15.85,11.87
2001,531092,44.90,65.50,36.40,22.50,22.90
2002,531099,NA,5.30,1.81,2.87,2.36
2003,531109,86.95,50.15,51.95,25.15,51.15
2004,531111,7.00,11.50,9.30,7.31,13.61
2005,531112,75.00,42.50,51.40,32.50,130.55
2006,531119,6.00,8.25,8.32,6.78,7.49
2007,531120,76.40,77.85,37.70,14.35,15.08
2008,531126,1.92,1.82,2.52,1.97,1.26
2009,531127,101.00,21.80,17.75,8.93,12.51
2010,531129,44.00,21.60,18.58,14.80,16.30
2011,531137,0.34,0.75,0.73,0.64,2.79
2012,531146,288.05,620.80,433.40,341.50,450.85
2013,531147,365.00,703.15,585.00,372.90,378.70
2014,531153,21.40,18.76,15.70,3.83,8.58
2015,531155,6.00,4.70,5.90,5.90,6.51
2016,531156,60.00,51.50,34.70,25.30,36.75
2017,531157,11.00,17.05,9.12,3.00,6.65
2018,531158,17.75,53.05,13.67,7.60,6.45
2019,531161,148.55,125.25,67.30,50.20,132.95
2020,531162,955.90,"1,312.40",418.20,309.80,451.90
2021,531163,14.88,17.20,31.80,45.80,41.65
2022,531164,0.78,0.77,0.74,0.34,0.32
2023,531169,24.65,77.20,48.00,55.00,45.20
2024,531172,28.95,21.50,15.00,18.75,16.80
2025,531173,10.05,13.30,10.62,6.43,7.13
2026,531176,13.15,23.90,19.85,10.55,8.25
2027,531178,11.95,7.55,8.75,6.17,5.51
2028,531179,179.35,256.65,405.00,633.00,730.45
2029,531190,12.75,9.00,14.20,8.85,9.03
2030,531192,8.44,1.40,1.60,1.57,1.21
2031,531196,2.95,3.45,2.32,2.56,1.26
2032,531198,4.11,4.65,3.25,1.02,2.42
2033,531199,25.80,46.30,35.65,35.00,38.50
2034,531201,398.95,430.95,310.00,141.00,204.95
2035,531203,32.50,61.00,58.00,55.10,42.35
2036,531205,NA,NA,NA,NA,NA
2037,531209,256.30,521.40,378.05,284.70,611.60
2038,531210,18.65,19.50,9.27,10.00,12.93
2039,531211,22.80,27.15,10.44,3.07,6.40
2040,531212,12.41,20.25,17.90,15.75,19.45
2041,531213,67.25,123.30,92.85,177.40,176.75
2042,531215,28.85,50.20,33.05,29.55,52.15
2043,531216,0.83,1.23,1.19,5.10,7.80
2044,531221,NA,5.79,6.35,4.73,3.70
2045,531223,28.40,34.50,17.35,13.70,19.05
2046,531225,1.29,1.79,3.36,12.44,28.80
2047,531227,24.75,18.90,25.05,13.07,10.66
2048,531228,14.00,12.36,11.77,11.57,11.34
2049,531233,8.13,4.89,5.16,2.80,3.43
2050,531234,NA,39.75,34.50,92.90,97.60
2051,531235,5.70,9.55,12.00,13.80,16.70
2052,531237,7.32,6.75,NA,6.75,3.72
2053,531241,232.90,360.45,261.65,188.85,176.65
2054,531246,12.29,11.69,7.89,8.80,16.14
2055,531252,3.75,5.30,4.30,3.78,6.90
2056,531253,65.50,125.10,95.85,100.20,98.05
2057,531254,27.00,31.00,11.41,16.70,20.00
2058,531255,8.38,29.70,17.15,12.97,18.85
2059,531257,5.13,4.80,7.70,1.97,6.30
2060,531259,5.19,7.61,5.51,3.42,4.74
2061,531260,NA,NA,NA,7.06,65.70
2062,531265,12.35,10.95,11.49,6.94,6.58
2063,531266,"1,733.70","2,497.15","1,585.80","1,091.95","1,969.55"
2064,531268,9.50,13.92,14.00,10.10,17.70
2065,531272,14.48,12.25,6.80,6.00,4.95
2066,531273,20.65,21.50,14.82,14.29,9.55
2067,531274,9.40,7.84,8.98,8.53,7.98
2068,531278,34.95,43.95,35.05,28.95,28.00
2069,531279,11.31,15.04,19.15,18.55,7.88
2070,531280,12.39,20.93,5.34,7.90,3.80
2071,531281,11.50,27.95,21.40,5.25,6.16
2072,531283,2.86,2.75,2.94,3.20,3.04
2073,531287,48.50,44.80,32.00,34.80,28.75
2074,531288,6.45,5.74,5.00,4.70,4.02
2075,531289,232.00,211.20,158.10,30.90,40.00
2076,531297,23.40,50.10,43.70,35.75,38.50
2077,531300,3.75,3.54,1.54,2.36,3.45
2078,531301,22.35,8.73,12.39,11.87,12.00
2079,531304,10.00,10.45,9.50,10.72,16.80
2080,531306,160.00,449.80,554.00,465.00,380.05
2081,531307,6.99,3.50,0.49,0.90,9.98
2082,531310,3.50,7.30,8.06,6.00,8.09
2083,531314,20.75,31.65,46.00,43.10,36.60
2084,531319,3.23,3.30,3.25,1.95,1.39
2085,531322,NA,NA,1.14,0.57,1.00
2086,531323,4.46,4.35,18.75,7.00,3.87
2087,531324,50.00,22.25,16.00,13.97,12.00
2088,531327,5.00,2.19,2.19,2.40,2.04
2089,531328,134.50,45.00,8.80,4.85,5.88
2090,531334,NA,NA,12.26,12.23,4.13
2091,531335,860.70,"1,041.20","1,362.80","1,470.70","2,060.05"
2092,531336,5.42,7.80,12.97,7.89,4.67
2093,531337,14.25,21.85,24.40,57.20,14.05
2094,531338,4.38,7.65,12.75,11.16,8.89
2095,531339,5.50,6.15,2.47,0.83,2.18
2096,531340,21.05,20.80,15.15,15.15,7.57
2097,531341,4.50,3.58,4.25,3.47,3.08
2098,531343,18.05,15.25,4.50,3.73,1.63
2099,531344,"1,112.70","1,381.50",687.10,571.90,431.25
2100,531346,144.30,98.10,57.80,27.00,35.40
2101,531349,117.30,241.75,159.65,131.75,239.75
2102,531352,5.19,11.80,5.11,8.97,6.67
2103,531358,50.00,185.75,84.30,72.25,118.40
2104,531359,49.50,103.35,177.00,109.00,53.00
2105,531360,12.20,8.24,7.00,7.14,6.55
2106,531364,15.75,15.30,14.50,14.61,27.15
2107,531370,3.96,3.36,6.00,3.23,3.00
2108,531373,165.50,174.20,65.10,18.60,22.30
2109,531380,83.65,77.60,64.80,31.75,55.00
2110,531381,59.80,54.05,34.00,22.00,24.00
2111,531387,9.85,6.97,6.35,5.72,5.23
2112,531390,18.90,63.80,24.00,13.75,16.00
2113,531395,24.55,22.20,17.15,11.26,6.10
2114,531396,5.29,4.51,2.78,1.47,1.26
2115,531397,14.80,21.20,9.20,6.24,4.85
2116,531398,70.45,85.85,41.20,61.85,151.05
2117,531400,14.40,32.25,23.10,12.33,20.65
2118,531402,3.09,10.67,4.15,3.05,2.13
2119,531404,41.35,25.00,6.81,1.51,2.77
2120,531406,30.00,22.50,26.50,24.05,21.60
2121,531409,10.56,6.00,6.50,13.40,6.80
2122,531411,0.49,0.49,0.29,0.19,0.69
2123,531412,78.85,63.60,55.20,75.20,37.90
2124,531413,3.36,3.68,3.74,3.90,3.42
2125,531416,9.24,8.82,10.00,11.90,6.50
2126,531417,0.83,0.66,0.53,0.23,0.78
2127,531426,332.80,445.70,258.90,168.80,129.35
2128,531429,4.75,1.98,2.41,1.72,1.62
2129,531431,139.50,453.65,416.45,196.95,346.15
2130,531433,1.83,2.09,1.22,1.08,0.64
2131,531436,11.04,4.42,5.59,6.94,3.16
2132,531437,24.95,45.45,37.20,21.50,27.35
2133,531439,6.44,16.23,16.70,8.41,11.20
2134,531444,12.50,8.40,5.50,5.70,4.60
2135,531449,61.50,283.10,239.00,184.00,591.70
2136,531453,36.85,44.95,8.84,5.07,6.54
2137,531454,10.08,18.10,20.75,10.29,11.29
2138,531456,1.72,1.32,0.66,0.35,0.69
2139,531460,7.13,4.04,1.95,4.29,2.42
2140,531465,17.25,14.95,14.00,13.70,12.70
2141,531471,74.40,96.45,25.05,11.82,10.90
2142,531472,6.98,6.93,16.95,5.15,7.28
2143,531489,33.25,38.20,55.95,40.50,94.45
2144,531494,14.50,17.00,27.00,20.00,11.07
2145,531496,0.76,1.05,1.60,0.78,0.95
2146,531497,38.15,35.65,6.66,3.45,5.80
2147,531499,7.28,5.11,3.45,2.77,3.70
