,Security Code,Close Jul 20,Close Aug 20,Close Sep 20,Close Oct 20,Close Nov 20,Close Dec 20,Close Jan 21
2772,532994,27.00,27.55,24.90,23.05,27.70,35.05,39.40
2773,532997,0.65,0.43,0.38,0.38,0.39,0.72,0.69
2774,532998,26.50,30.00,31.00,32.05,33.10,33.30,36.55
2775,533001,14.65,25.12,22.30,21.35,21.15,27.85,37.35
2776,533007,2.30,2.62,2.56,2.61,2.81,3.74,4.03
2777,533008,2.85,3.42,3.03,2.91,2.77,2.78,3.51
2778,533012,1.50,1.54,2.40,2.25,1.40,1.64,2.03
2779,533014,11.98,12.11,10.85,11.46,12.53,15.80,16.50
2780,533018,15.16,19.40,19.40,19.10,NA,17.25,17.20
2781,533019,0.54,0.58,0.60,0.75,0.80,0.88,0.96
2782,533022,28.60,30.95,28.10,28.35,32.00,40.20,39.95
2783,533023,"6,952.50","6,961.15","5,805.95","4,883.70","5,515.70","5,546.75","5,593.60"
2784,533029,43.15,47.85,46.15,47.70,48.00,47.65,55.25
2785,533033,230.95,255.20,255.20,235.15,255.70,329.95,370.25
2786,533047,169.75,233.30,227.45,262.25,287.90,281.70,308.65
2787,533048,2.77,NA,2.87,2.73,2.69,2.66,3.01
2788,533056,19.10,28.60,27.85,31.70,30.15,36.80,34.30
2789,533078,34.30,32.60,32.75,NA,34.35,31.00,29.45
2790,533080,229.10,288.60,284.80,260.40,287.05,284.40,312.55
2791,533088,157.70,176.70,168.15,167.35,191.20,215.25,213.45
2792,533090,0.94,1.29,1.03,1.15,1.29,3.06,2.65
2793,533093,NA,NA,NA,7.79,20.48,59.72,83.85
2794,533095,"1,357.35","1,262.90","1,251.00","1,282.35","1,342.90","1,350.70","1,426.10"
2795,533096,35.40,37.30,36.85,35.70,38.50,49.70,56.15
2796,533098,20.35,21.70,20.20,19.90,21.45,22.75,25.10
2797,533101,46.90,54.45,45.85,48.00,44.20,50.60,62.00
2798,533104,124.75,181.10,269.50,289.90,312.25,322.55,381.50
2799,533106,96.70,94.75,89.75,85.95,96.15,107.40,114.55
2800,533107,2.57,4.21,3.00,2.22,3.09,3.18,3.12
2801,533108,4.99,4.62,4.20,3.58,5.08,5.17,6.80
2802,533109,0.75,0.94,1.61,1.34,1.64,1.88,1.94
2803,533110,5.51,4.36,2.70,5.10,5.35,5.13,4.98
2804,533121,266.20,480.85,522.40,529.85,482.90,515.65,550.75
2805,533122,2.07,3.08,2.55,2.00,1.98,2.35,3.46
2806,533137,78.30,76.05,71.65,71.00,70.00,62.25,67.25
2807,533138,938.95,"1,113.65","1,086.80","1,142.40",949.35,"1,288.80","1,282.80"
2808,533144,1.55,1.56,1.38,1.31,1.43,1.66,1.65
2809,533146,85.70,113.30,103.85,98.25,107.55,116.65,113.85
2810,533148,45.95,54.70,56.40,60.00,61.90,67.85,66.80
2811,533149,2.39,2.95,3.08,2.53,2.41,2.91,3.43
2812,533150,926.40,913.00,860.05,"1,034.55","1,165.85","1,431.55","1,472.00"
2813,533151,72.90,78.35,78.10,74.15,80.70,82.05,83.70
2814,533152,6.02,9.33,8.10,8.54,8.95,23.21,20.00
2815,533155,"1,719.55","2,091.00","2,345.00","2,176.50","2,497.70","2,790.05","2,933.40"
2816,533156,8.32,10.22,8.81,8.50,14.61,16.10,14.75
2817,533157,1.75,1.75,1.42,1.33,1.73,2.61,3.62
2818,533158,320.25,372.15,407.40,390.80,444.95,596.80,600.90
2819,533160,6.69,7.08,6.60,6.73,14.16,14.26,17.41
2820,533161,72.50,83.80,84.55,75.45,73.65,78.10,84.30
2821,533162,37.95,34.15,29.80,27.95,30.75,33.20,33.80
2822,533163,12.70,15.21,13.60,12.70,17.28,27.12,27.85
2823,533164,12.29,13.67,14.10,16.30,21.40,21.70,23.80
2824,533166,1.54,1.37,1.14,1.18,1.24,1.51,1.65
2825,533167,24.65,24.50,17.00,20.35,21.50,25.60,27.20
2826,533168,77.00,122.85,150.15,124.95,128.25,128.50,125.45
2827,533169,17.85,25.65,26.70,25.90,29.20,34.05,34.75
2828,533170,30.00,33.90,29.00,35.75,31.30,45.00,44.95
2829,533176,1.05,1.56,1.33,1.16,1.09,1.61,1.42
2830,533177,1.48,1.50,1.18,1.17,1.37,2.33,3.18
2831,533178,0.75,0.72,0.58,0.50,0.52,0.66,0.80
2832,533179,918.00,963.40,"1,338.50","1,151.95","1,194.35","1,513.60","1,611.65"
2833,533181,68.00,90.95,76.60,74.40,60.85,69.20,87.40
2834,533189,0.68,0.75,0.62,0.67,0.76,0.93,1.05
2835,533192,14.13,15.01,14.20,14.89,15.84,16.40,16.85
2836,533193,9.85,12.41,10.27,10.63,11.88,15.83,15.80
2837,533202,1.50,1.47,1.46,1.49,1.78,1.98,2.09
2838,533204,4.56,7.81,7.47,7.10,5.48,7.15,7.42
2839,533206,22.05,23.40,21.95,21.90,24.15,24.85,26.75
2840,533207,1.41,1.34,1.27,1.29,1.30,2.01,2.22
2841,533208,70.20,72.50,66.80,66.30,77.40,105.40,101.75
2842,533210,29.00,36.75,34.00,33.00,31.65,36.80,44.85
2843,533211,2.58,3.10,2.47,2.15,2.27,5.21,6.30
2844,533212,58.05,55.40,55.65,56.70,51.70,80.90,69.00
2845,533216,8.71,12.25,9.25,9.49,9.10,9.66,11.50
2846,533217,45.40,52.30,48.70,50.25,56.95,57.20,57.00
2847,533218,33.50,51.55,43.00,36.35,45.90,49.85,68.85
